time_s,pos_m,setpoint_m,servo_deg
2.624,0.0575,0.15,98.0
2.628,0.0579,0.15,78.0
2.631,0.0575,0.15,65.0
2.634,0.0572,0.15,57.0
2.637,0.0567,0.15,52.0
2.64,0.0564,0.15,50.0
2.644,0.0569,0.15,48.0
2.647,0.0579,0.15,81.0
2.65,0.0587,0.15,101.0
2.654,0.059,0.15,113.0
2.657,0.0595,0.15,120.0
2.661,0.0598,0.15,124.0
2.664,0.0603,0.15,127.0
2.668,0.0617,0.15,111.0
2.672,0.0624,0.15,101.0
2.675,0.0644,0.15,95.0
2.678,0.0659,0.15,92.0
2.682,0.0668,0.15,90.0
2.685,0.0672,0.15,90.0
2.689,0.0683,0.15,74.0
2.692,0.069,0.15,65.0
2.696,0.0694,0.15,59.0
2.7,0.0699,0.15,56.0
2.703,0.0702,0.15,54.0
2.706,0.0696,0.15,52.0
2.71,0.0702,0.15,75.0
2.714,0.0705,0.15,89.0
2.717,0.0693,0.15,96.0
2.721,0.0698,0.15,101.0
2.724,0.0686,0.15,103.0
2.727,0.0676,0.15,105.0
2.731,0.0675,0.15,117.0
2.735,0.0671,0.15,124.0
2.738,0.0663,0.15,128.0
2.741,0.0656,0.15,131.0
2.745,0.0648,0.15,132.0
2.749,0.0645,0.15,133.0
2.752,0.0646,0.15,134.0
2.755,0.0645,0.15,134.0
2.758,0.0646,0.15,134.0
2.762,0.0651,0.15,134.0
2.766,0.065,0.15,134.0
2.769,0.0658,0.15,134.0
2.773,0.0667,0.15,123.0
2.776,0.0672,0.15,117.0
2.78,0.0678,0.15,113.0
2.783,0.0686,0.15,110.0
2.787,0.0681,0.15,109.0
2.79,0.0682,0.15,108.0
2.794,0.0676,0.15,114.0
2.797,0.0683,0.15,117.0
2.801,0.0686,0.15,119.0
2.805,0.069,0.15,120.0
2.808,0.0701,0.15,121.0
2.812,0.0711,0.15,122.0
2.815,0.0709,0.15,110.0
2.819,0.0715,0.15,102.0
2.822,0.0715,0.15,98.0
2.826,0.0731,0.15,95.0
2.83,0.0736,0.15,94.0
2.833,0.0747,0.15,93.0
2.837,0.0757,0.15,85.0
2.841,0.0753,0.15,79.0
2.844,0.0774,0.15,76.0
2.848,0.0775,0.15,74.0
2.852,0.0791,0.15,73.0
2.855,0.0793,0.15,72.0
2.859,0.0791,0.15,79.0
2.863,0.0793,0.15,83.0
2.866,0.0792,0.15,85.0
2.87,0.0794,0.15,87.0
2.874,0.0793,0.15,88.0
2.877,0.0803,0.15,88.0
2.881,0.0793,0.15,104.0
2.884,0.0788,0.15,114.0
2.889,0.0781,0.15,119.0
2.892,0.0785,0.15,123.0
2.896,0.0788,0.15,125.0
2.899,0.0784,0.15,126.0
2.903,0.0777,0.15,130.0
2.907,0.0758,0.15,132.0
2.91,0.0739,0.15,133.0
2.914,0.073,0.15,133.0
2.917,0.0728,0.15,134.0
2.921,0.0729,0.15,134.0
2.924,0.0727,0.15,134.0
2.928,0.0728,0.15,134.0
2.931,0.0727,0.15,134.0
2.935,0.0725,0.15,134.0
2.939,0.0727,0.15,134.0
2.942,0.0718,0.15,134.0
2.946,0.0722,0.15,134.0
2.949,0.0714,0.15,134.0
2.953,0.0719,0.15,134.0
2.956,0.072,0.15,134.0
2.96,0.0724,0.15,134.0
2.963,0.0725,0.15,134.0
2.967,0.072,0.15,134.0
2.971,0.0723,0.15,134.0
2.974,0.0723,0.15,134.0
2.978,0.0726,0.15,134.0
2.981,0.0722,0.15,134.0
2.985,0.0725,0.15,134.0
2.989,0.0725,0.15,132.0
2.992,0.0729,0.15,130.0
2.996,0.0724,0.15,129.0
2.999,0.0717,0.15,128.0
3.003,0.0711,0.15,128.0
3.006,0.0707,0.15,128.0
3.01,0.0715,0.15,130.0
3.013,0.0722,0.15,132.0
3.017,0.0715,0.15,133.0
3.021,0.0722,0.15,134.0
3.024,0.0727,0.15,134.0
3.028,0.0722,0.15,134.0
3.032,0.0734,0.15,124.0
3.035,0.0736,0.15,118.0
3.039,0.074,0.15,115.0
3.042,0.0727,0.15,113.0
3.046,0.0724,0.15,112.0
3.05,0.0727,0.15,111.0
3.054,0.074,0.15,117.0
3.057,0.0748,0.15,120.0
3.061,0.0753,0.15,122.0
3.065,0.0744,0.15,124.0
3.068,0.0743,0.15,124.0
3.071,0.0755,0.15,125.0
3.076,0.0756,0.15,120.0
3.079,0.0773,0.15,117.0
3.083,0.0786,0.15,115.0
3.087,0.0791,0.15,114.0
3.09,0.079,0.15,114.0
3.094,0.0811,0.15,113.0
3.098,0.0825,0.15,87.0
3.102,0.0835,0.15,70.0
3.105,0.085,0.15,60.0
3.11,0.0868,0.15,54.0
3.113,0.0878,0.15,51.0
3.117,0.0886,0.15,49.0
3.121,0.0885,0.15,51.0
3.125,0.0885,0.15,52.0
3.129,0.0894,0.15,53.0
3.133,0.0901,0.15,53.0
3.137,0.0887,0.15,54.0
3.14,0.0886,0.15,84.0
3.144,0.0879,0.15,101.0
3.148,0.0871,0.15,112.0
3.152,0.0847,0.15,118.0
3.156,0.0846,0.15,122.0
3.159,0.083,0.15,125.0
3.163,0.0827,0.15,129.0
3.167,0.0822,0.15,131.0
3.17,0.0818,0.15,132.0
3.174,0.0812,0.15,133.0
3.178,0.0811,0.15,134.0
3.182,0.0813,0.15,134.0
3.186,0.0826,0.15,134.0
3.189,0.0833,0.15,134.0
3.193,0.085,0.15,134.0
3.197,0.0866,0.15,134.0
3.2,0.0877,0.15,134.0
